op_type	dt	op	n_bufs	count	time_us	gb_s
reducedt	int32	prod	2	1024	0.4	30.80
reducedt	int32	prod	2	2048	0.83	29.54
reducedt	int32	prod	2	4096	1.45	33.94
reducedt	int32	prod	2	8192	3.22	30.51
reducedt	int32	prod	2	16384	6.75	29.13
reducedt	int32	prod	2	32768	12.1	32.51
reducedt	int32	prod	2	65536	24.34	32.32
reducedt	int32	prod	2	131072	45.36	34.68
reducedt	int32	prod	2	262144	93.36	33.69
reducedt	int32	prod	2	524288	183.13	34.36
reducedt	int32	prod	2	1048576	360.96	34.86
reducedt	int32	prod	2	2097152	735.92	34.20
reducedt	int32	prod	2	4194304	1464.99	34.36
reducedt	int32	prod	2	8388608	2374.13	42.40
reducedt	int32	prod	2	16777216	3272.86	61.51
reducedt	int32	prod	2	33554432	9826.77	40.98
reducedt	int32	prod	2	67108864	25476.97	31.61
reducedt	int32	prod	8	1024	3.07	12.00
reducedt	int32	prod	8	2048	5.62	13.13
reducedt	int32	prod	8	4096	11.59	12.72
reducedt	int32	prod	8	8192	22.55	13.08
reducedt	int32	prod	8	16384	44.51	13.25
reducedt	int32	prod	8	32768	89.98	13.11
reducedt	int32	prod	8	65536	177.9	13.26
reducedt	int32	prod	8	131072	354.7	13.30
reducedt	int32	prod	8	262144	709.37	13.30
reducedt	int32	prod	8	524288	1431.46	13.19
reducedt	int32	prod	8	1048576	1499.8	25.17
reducedt	int32	prod	8	2097152	2996.52	25.20
reducedt	int32	prod	8	4194304	5999.35	25.17
reducedt	int32	prod	8	8388608	11964.76	25.24
reducedt	int32	prod	8	16777216	23994.78	25.17
reducedt	int32	prod	8	33554432	47917.7	25.21
reducedt	int32	prod	8	67108864	95959.9	25.18
reducedt	int32	min	2	1024	0.31	39.51
reducedt	int32	min	2	2048	0.58	42.52
reducedt	int32	min	2	4096	1.21	40.69
reducedt	int32	min	2	8192	2.27	43.21
reducedt	int32	min	2	16384	5.48	35.86
reducedt	int32	min	2	32768	10.4	37.82
reducedt	int32	min	2	65536	21.93	35.86
reducedt	int32	min	2	131072	33.48	46.98
reducedt	int32	min	2	262144	70.5	44.62
reducedt	int32	min	2	524288	151.34	41.57
reducedt	int32	min	2	1048576	322.47	39.02
reducedt	int32	min	2	2097152	594.04	42.36
reducedt	int32	min	2	4194304	1176.89	42.77
reducedt	int32	min	2	8388608	2382.36	42.25
reducedt	int32	min	2	16777216	2807.89	71.70
reducedt	int32	min	2	33554432	10106.38	39.84
reducedt	int32	min	2	67108864	25875.19	31.12
reducedt	int32	min	8	1024	1.28	28.71
reducedt	int32	min	8	2048	2.62	28.12
reducedt	int32	min	8	4096	5.68	25.97
reducedt	int32	min	8	8192	10.17	29.01
reducedt	int32	min	8	16384	20.24	29.14
reducedt	int32	min	8	32768	40.12	29.40
reducedt	int32	min	8	65536	83.87	28.13
reducedt	int32	min	8	131072	160.53	29.39
reducedt	int32	min	8	262144	320.51	29.44
reducedt	int32	min	8	524288	653.99	28.86
reducedt	int32	min	8	1048576	1300.54	29.03
reducedt	int32	min	8	2097152	2390.89	31.58
reducedt	int32	min	8	4194304	2745.98	54.99
reducedt	int32	min	8	8388608	5504.93	54.86
reducedt	int32	min	8	16777216	11008.36	54.87
reducedt	int32	min	8	33554432	22205.58	54.40
reducedt	int32	min	8	67108864	44278.53	54.56
reducedt	int32	max	2	1024	0.31	39.77
reducedt	int32	max	2	2048	0.57	42.74
reducedt	int32	max	2	4096	1.11	44.44
reducedt	int32	max	2	8192	2.27	43.36
reducedt	int32	max	2	16384	4.72	41.62
reducedt	int32	max	2	32768	8.53	46.13
reducedt	int32	max	2	65536	18.04	43.59
reducedt	int32	max	2	131072	33.03	47.61
reducedt	int32	max	2	262144	67.31	46.73
reducedt	int32	max	2	524288	138.39	45.46
reducedt	int32	max	2	1048576	315.26	39.91
reducedt	int32	max	2	2097152	553.14	45.50
reducedt	int32	max	2	4194304	1108.52	45.40
reducedt	int32	max	2	8388608	2036.91	49.42
reducedt	int32	max	2	16777216	2604.82	77.29
reducedt	int32	max	2	33554432	9780.33	41.17
reducedt	int32	max	2	67108864	25596.74	31.46
reducedt	int32	max	8	1024	1.28	28.73
reducedt	int32	max	8	2048	2.58	28.60
reducedt	int32	max	8	4096	5.08	29.02
reducedt	int32	max	8	8192	10.12	29.15
reducedt	int32	max	8	16384	21.19	27.84
reducedt	int32	max	8	32768	40.03	29.47
reducedt	int32	max	8	65536	79.96	29.51
reducedt	int32	max	8	131072	159.82	29.52
reducedt	int32	max	8	262144	319.61	29.53
reducedt	int32	max	8	524288	646.14	29.21
reducedt	int32	max	8	1048576	990.1	38.13
reducedt	int32	max	8	2097152	1347.35	56.03
reducedt	int32	max	8	4194304	2697.19	55.98
reducedt	int32	max	8	8388608	5430.98	55.61
reducedt	int32	max	8	16777216	10898.65	55.42
reducedt	int32	max	8	33554432	21850.62	55.28
reducedt	int32	max	8	67108864	43483.86	55.56
reducedt	int64	sum	2	1024	0.19	128.00
reducedt	int64	sum	2	2048	0.45	110.21
reducedt	int64	sum	2	4096	1.04	94.61
reducedt	int64	sum	2	8192	2.48	79.37
reducedt	int64	sum	2	16384	4.19	93.91
reducedt	int64	sum	2	32768	5.43	144.94
reducedt	int64	sum	2	65536	10.89	144.43
reducedt	int64	sum	2	131072	24.48	128.48
reducedt	int64	sum	2	262144	52.79	119.18
reducedt	int64	sum	2	524288	137.27	91.67
reducedt	int64	sum	2	1048576	273.51	92.01
reducedt	int64	sum	2	2097152	549.86	91.54
reducedt	int64	sum	2	4194304	1098.83	91.61
reducedt	int64	sum	2	8388608	2537.41	79.34
reducedt	int64	sum	2	16777216	10026.48	40.16
reducedt	int64	sum	2	33554432	26119.09	30.83
reducedt	int64	sum	2	67108864	56843.29	28.33
reducedt	int64	sum	8	1024	1.42	51.99
reducedt	int64	sum	8	2048	1.77	83.07
reducedt	int64	sum	8	4096	6.39	46.16
reducedt	int64	sum	8	8192	9.3	63.42
reducedt	int64	sum	8	16384	18.96	62.21
reducedt	int64	sum	8	32768	36.85	64.03
reducedt	int64	sum	8	65536	73.67	64.05
reducedt	int64	sum	8	131072	151.6	62.25
reducedt	int64	sum	8	262144	300.05	62.90
reducedt	int64	sum	8	524288	604.82	62.41
reducedt	int64	sum	8	1048576	1214.78	62.15
reducedt	int64	sum	8	2097152	1663.99	90.74
reducedt	int64	sum	8	4194304	2558.14	118.05
reducedt	int64	sum	8	8388608	5204.11	116.06
reducedt	int64	sum	8	16777216	11587.28	104.25
reducedt	int64	sum	8	33554432	26979.38	89.55
reducedt	int64	sum	8	67108864	57082.11	84.65
reducedt	int64	prod	2	1024	0.62	39.90
reducedt	int64	prod	2	2048	1.33	37.07
reducedt	int64	prod	2	4096	3.16	31.11
reducedt	int64	prod	2	8192	6.78	29.01
reducedt	int64	prod	2	16384	12.33	31.90
reducedt	int64	prod	2	32768	18.33	42.89
reducedt	int64	prod	2	65536	36.34	43.28
reducedt	int64	prod	2	131072	72.22	43.56
reducedt	int64	prod	2	262144	159.57	39.43
reducedt	int64	prod	2	524288	337.58	37.27
reducedt	int64	prod	2	1048576	614.16	40.98
reducedt	int64	prod	2	2097152	1153.9	43.62
reducedt	int64	prod	2	4194304	1287.58	78.18
reducedt	int64	prod	2	8388608	2857.57	70.45
reducedt	int64	prod	2	16777216	10449.14	38.53
reducedt	int64	prod	2	33554432	26805.58	30.04
reducedt	int64	prod	2	67108864	58340.41	27.61
reducedt	int64	prod	8	1024	3.66	20.14
reducedt	int64	prod	8	2048	7.54	19.55
reducedt	int64	prod	8	4096	14.63	20.16
reducedt	int64	prod	8	8192	28.84	20.45
reducedt	int64	prod	8	16384	57.61	20.48
reducedt	int64	prod	8	32768	116.05	20.33
reducedt	int64	prod	8	65536	230.04	20.51
reducedt	int64	prod	8	131072	460.06	20.51
reducedt	int64	prod	8	262144	931.1	20.27
reducedt	int64	prod	8	524288	1278.38	29.53
reducedt	int64	prod	8	1048576	1941.05	38.90
reducedt	int64	prod	8	2097152	3910.5	38.61
reducedt	int64	prod	8	4194304	7795.66	38.74
reducedt	int64	prod	8	8388608	15575.47	38.78
reducedt	int64	prod	8	16777216	31296.56	38.60
reducedt	int64	prod	8	33554432	62646.93	38.56
reducedt	int64	prod	8	67108864	124937.62	38.67
reducedt	int64	min	2	1024	0.74	33.30
reducedt	int64	min	2	2048	1.54	32.00
reducedt	int64	min	2	4096	3.12	31.51
reducedt	int64	min	2	8192	6.92	28.42
reducedt	int64	min	2	16384	12.24	32.11
reducedt	int64	min	2	32768	23.16	33.95
reducedt	int64	min	2	65536	49.66	31.68
reducedt	int64	min	2	131072	90.94	34.59
reducedt	int64	min	2	262144	188.93	33.30
reducedt	int64	min	2	524288	383.55	32.81
reducedt	int64	min	2	1048576	757.85	33.21
reducedt	int64	min	2	2097152	1511.23	33.30
reducedt	int64	min	2	4194304	1632.76	61.65
reducedt	int64	min	2	8388608	3456.75	58.24
reducedt	int64	min	2	16777216	10450.4	38.53
reducedt	int64	min	2	33554432	26579.53	30.30
reducedt	int64	min	2	67108864	57641.34	27.94
reducedt	int64	min	8	1024	2.56	28.83
reducedt	int64	min	8	2048	4.53	32.54
reducedt	int64	min	8	4096	10.06	29.31
reducedt	int64	min	8	8192	21.7	27.18
reducedt	int64	min	8	16384	39.41	29.94
reducedt	int64	min	8	32768	80.14	29.44
reducedt	int64	min	8	65536	166.74	28.30
reducedt	int64	min	8	131072	324.19	29.11
reducedt	int64	min	8	262144	643.84	29.32
reducedt	int64	min	8	524288	1363.53	27.68
reducedt	int64	min	8	1048576	2711.8	27.84
reducedt	int64	min	8	2097152	3578.73	42.19
reducedt	int64	min	8	4194304	5751.29	52.51
reducedt	int64	min	8	8388608	11552.83	52.28
reducedt	int64	min	8	16777216	23113.33	52.26
reducedt	int64	min	8	33554432	46353.69	52.12
reducedt	int64	min	8	67108864	92361.59	52.31
reducedt	int64	max	2	1024	0.75	32.81
reducedt	int64	max	2	2048	1.62	30.38
reducedt	int64	max	2	4096	4.31	22.83
reducedt	int64	max	2	8192	8.03	24.48
reducedt	int64	max	2	16384	14.84	26.50
reducedt	int64	max	2	32768	22.53	34.91
reducedt	int64	max	2	65536	44.27	35.53
reducedt	int64	max	2	131072	88.87	35.40
reducedt	int64	max	2	262144	186.56	33.72
reducedt	int64	max	2	524288	399.63	31.49
reducedt	int64	max	2	1048576	781.88	32.19
reducedt	int64	max	2	2097152	1594.96	31.56
reducedt	int64	max	2	4194304	1592.83	63.20
reducedt	int64	max	2	8388608	3429.6	58.70
reducedt	int64	max	2	16777216	10612.75	37.94
